side_length,board_size,matchup,player_policy,enemy_policy,winner,win_reason,natural_winner,natural_win_reason,timeout_margin,timeout_controlled_diff,final_round,threshold_60,player_first_rounds,enemy_first_rounds,p_controlled,e_controlled,p_non_core,e_non_core,neutral_fields,build,raid,raid_takeovers,raid_absorbed_by_shield,fortify,rebuild,field_upgrade,core_upgrade,wait,p_build,p_raid,p_fortify,p_rebuild,p_wait,e_build,e_raid,e_fortify,e_rebuild,e_wait,p_holz_waste,p_stein_waste,p_korn_waste,e_holz_waste,e_stein_waste,e_korn_waste,p_holz,p_stein,p_korn,e_holz,e_stein,e_korn,final_shielded_fields,final_shield_points,final_max_shield
4,37,utility_balancer_vs_rusher,utility_balancer,rusher,enemy,territory,enemy,territory,5,0,25,23,13,12,13,23,12,22,1,32,61,54,7,8,2,5,2,40,21,22,8,2,16,11,39,0,0,24,26,2,3,1,5,97,2,3,2,6,12,5,0,0,0
4,37,utility_balancer_vs_utility_balancer,utility_balancer,utility_balancer,player,full_board_majority,player,full_board_majority,5,0,17,23,9,8,19,18,18,17,0,33,9,7,2,35,1,5,2,13,18,5,16,0,7,15,4,19,1,6,0,19,3,2,9,9,4,12,5,12,12,11,17,33,3
4,37,utility_balancer_vs_utility_rusher,utility_balancer,utility_rusher,enemy,full_board_majority,enemy,full_board_majority,5,0,16,23,8,8,17,20,16,19,0,33,26,19,7,12,0,5,2,16,18,8,7,0,9,15,18,5,0,7,5,9,7,2,22,5,4,12,12,12,12,4,5,5,1
4,37,utility_balancer_vs_utility_economist,utility_balancer,utility_economist,player,full_board_majority,player,full_board_majority,5,0,19,23,10,9,19,18,18,17,0,33,22,15,7,32,2,8,2,12,18,8,20,1,6,15,14,12,1,6,13,6,16,29,13,11,4,12,1,12,12,12,11,24,3
4,37,utility_balancer_vs_utility_fortifier,utility_balancer,utility_fortifier,player,full_board_majority,player,full_board_majority,5,0,22,23,11,11,21,16,20,15,0,33,23,9,14,54,2,7,2,10,18,7,31,0,5,15,16,23,2,5,22,30,10,33,8,26,4,12,11,12,10,7,17,38,3
4,37,utility_balancer_vs_utility_aggro_turtle,utility_balancer,utility_aggro_turtle,player,full_board_majority,player,full_board_majority,5,0,22,23,11,11,21,16,20,15,0,33,23,9,14,53,3,7,2,10,18,7,31,0,5,15,16,22,3,5,22,30,10,31,8,33,4,12,11,12,4,7,16,37,3
4,37,utility_balancer_vs_utility_opportunist,utility_balancer,utility_opportunist,enemy,full_board_majority,enemy,full_board_majority,5,0,24,23,12,12,17,20,16,19,0,33,22,20,2,64,1,6,2,14,19,8,32,0,7,14,14,32,1,7,33,40,12,60,38,5,4,12,12,12,12,0,27,62,3
4,37,utility_rusher_vs_phase_player,utility_rusher,phase_player,player,territory,player,territory,5,0,23,23,12,11,23,8,22,7,6,27,58,45,13,20,4,10,2,14,18,33,7,0,7,9,25,13,4,7,22,28,26,0,36,16,12,12,6,11,12,10,6,7,2
4,37,utility_rusher_vs_rusher,utility_rusher,rusher,player,full_board_majority,player,full_board_majority,5,0,41,23,21,20,21,16,20,15,0,33,114,108,6,21,4,6,2,61,19,54,21,4,17,14,60,0,0,44,72,33,56,0,0,214,4,12,11,1,0,12,6,15,3
4,37,utility_rusher_vs_utility_balancer,utility_rusher,utility_balancer,player,territory,player,territory,5,0,19,23,10,9,23,11,22,10,3,30,41,37,4,17,1,4,2,16,14,26,4,0,10,16,15,13,1,6,41,29,2,14,11,8,12,12,6,12,12,11,10,13,3
4,37,utility_rusher_vs_utility_rusher,utility_rusher,utility_rusher,enemy,full_board_majority,enemy,full_board_majority,5,0,19,23,10,9,18,19,17,18,0,33,40,34,6,16,0,5,2,17,16,18,10,0,9,17,22,6,0,8,35,17,6,11,34,9,12,4,2,4,12,8,7,10,2
4,37,utility_rusher_vs_utility_economist,utility_rusher,utility_economist,player,territory,player,territory,5,0,19,23,10,9,23,12,22,11,2,31,44,38,6,12,2,7,2,13,15,25,5,2,7,16,19,7,0,6,27,29,13,9,25,7,8,12,4,12,12,9,5,6,2
4,37,utility_rusher_vs_utility_fortifier,utility_rusher,utility_fortifier,player,territory,player,territory,5,0,17,23,9,8,23,7,22,6,7,26,38,31,7,11,0,5,2,17,12,26,4,0,5,14,12,7,0,12,20,11,12,0,25,0,12,12,4,5,12,6,4,4,1
4,37,utility_rusher_vs_utility_aggro_turtle,utility_rusher,utility_aggro_turtle,player,territory,player,territory,5,0,16,23,8,8,23,9,22,8,5,28,33,28,5,12,0,9,2,12,13,22,4,0,5,15,11,8,0,7,10,8,16,0,12,0,0,12,6,11,0,0,7,7,1
4,37,utility_rusher_vs_utility_opportunist,utility_rusher,utility_opportunist,player,full_board_majority,player,full_board_majority,5,0,17,23,9,8,22,15,21,14,0,33,29,25,4,14,0,5,2,16,17,17,5,0,9,16,12,9,0,7,11,23,6,0,17,7,0,12,6,11,12,12,7,10,2
4,37,utility_economist_vs_phase_player,utility_economist,phase_player,enemy,full_board_majority,enemy,full_board_majority,5,0,20,23,10,10,16,21,15,20,0,33,38,27,11,27,2,5,2,11,21,10,18,1,5,12,28,9,1,6,12,6,7,3,11,57,7,12,8,12,12,6,12,15,3
4,37,utility_economist_vs_rusher,utility_economist,rusher,enemy,full_board_majority,enemy,full_board_majority,5,0,30,23,15,15,16,21,15,20,0,33,74,60,14,18,1,8,2,42,22,26,18,1,12,11,48,0,0,30,43,9,41,31,0,123,7,12,12,3,1,9,1,1,1
4,37,utility_economist_vs_utility_balancer,utility_economist,utility_balancer,player,full_board_majority,player,full_board_majority,5,0,23,23,12,11,19,18,18,17,0,33,24,16,8,58,1,7,2,11,17,15,25,1,6,16,9,33,0,5,38,31,6,36,37,13,12,12,0,4,12,12,19,50,3
4,37,utility_economist_vs_utility_rusher,utility_economist,utility_rusher,enemy,territory,enemy,territory,5,0,19,23,10,9,11,23,10,22,3,30,50,46,4,9,2,10,2,11,15,21,5,2,6,15,29,4,0,5,29,14,0,32,33,7,8,4,1,0,12,6,5,5,1
4,37,utility_economist_vs_utility_economist,utility_economist,utility_economist,player,full_board_majority,player,full_board_majority,5,0,18,23,9,9,19,18,18,17,0,33,14,12,2,37,0,9,2,12,17,6,18,0,7,16,8,19,0,5,15,21,4,20,19,10,4,12,1,12,12,0,16,35,3
4,37,utility_economist_vs_utility_fortifier,utility_economist,utility_fortifier,player,full_board_majority,player,full_board_majority,5,0,18,23,9,9,19,18,18,17,0,33,10,7,3,44,0,9,2,10,18,5,20,0,5,15,5,24,0,5,2,12,12,7,21,5,4,12,4,12,8,0,19,41,3
4,37,utility_economist_vs_utility_aggro_turtle,utility_economist,utility_aggro_turtle,player,full_board_majority,player,full_board_majority,5,0,18,23,9,9,19,18,18,17,0,33,16,9,7,37,2,7,2,10,18,7,18,0,5,15,9,19,2,5,8,15,8,8,17,5,4,12,6,12,12,4,13,30,3
4,37,utility_economist_vs_utility_opportunist,utility_economist,utility_opportunist,enemy,full_board_majority,enemy,full_board_majority,5,0,22,23,11,11,15,22,14,21,0,33,28,22,6,47,1,7,2,11,17,11,23,1,6,16,17,24,0,5,39,22,3,17,34,34,12,12,11,0,12,9,19,41,3
4,37,utility_fortifier_vs_phase_player,utility_fortifier,phase_player,player,full_board_majority,player,full_board_majority,5,0,25,23,13,12,19,18,18,17,0,33,43,25,18,42,1,12,2,14,20,17,25,1,8,13,26,17,0,6,6,6,12,6,48,96,3,12,2,7,12,12,17,21,3
4,37,utility_fortifier_vs_rusher,utility_fortifier,rusher,enemy,territory,enemy,territory,5,0,28,23,14,14,10,23,9,22,4,29,73,64,9,10,4,5,2,42,16,28,10,4,17,13,45,0,0,25,21,1,0,0,1,116,12,4,6,0,4,10,1,1,1
4,37,utility_fortifier_vs_utility_balancer,utility_fortifier,utility_balancer,enemy,full_board_majority,enemy,full_board_majority,5,0,17,23,9,8,18,19,17,18,0,33,6,3,3,36,1,8,2,11,17,3,17,1,6,16,3,19,0,5,0,3,11,2,15,3,4,12,12,12,12,12,15,33,3
4,37,utility_fortifier_vs_utility_rusher,utility_fortifier,utility_rusher,enemy,territory,enemy,territory,5,0,16,23,8,8,10,23,9,22,4,29,27,23,4,16,0,5,2,13,15,9,10,0,8,14,18,6,0,5,0,5,2,6,24,5,11,12,11,12,12,7,8,12,2
4,37,utility_fortifier_vs_utility_economist,utility_fortifier,utility_economist,enemy,full_board_majority,enemy,full_board_majority,5,0,18,23,9,9,18,19,17,18,0,33,9,9,0,42,0,8,2,12,17,4,20,0,7,16,5,22,0,5,6,20,0,11,15,11,4,12,9,12,12,0,20,42,3
4,37,utility_fortifier_vs_utility_fortifier,utility_fortifier,utility_fortifier,enemy,full_board_majority,enemy,full_board_majority,5,0,22,23,11,11,18,19,17,18,0,33,20,10,10,58,1,6,2,10,16,8,31,0,5,17,12,27,1,5,32,34,4,30,14,12,4,12,12,12,12,2,22,48,3
4,37,utility_fortifier_vs_utility_aggro_turtle,utility_fortifier,utility_aggro_turtle,enemy,full_board_majority,enemy,full_board_majority,5,0,22,23,11,11,18,19,17,18,0,33,20,10,10,58,1,6,2,10,16,8,31,0,5,17,12,27,1,5,32,34,4,30,14,12,4,12,12,12,12,2,22,48,3
4,37,utility_fortifier_vs_utility_opportunist,utility_fortifier,utility_opportunist,player,full_board_majority,player,full_board_majority,5,0,18,23,9,9,19,18,18,17,0,33,10,6,4,41,3,8,2,11,17,3,22,1,6,16,7,19,2,5,10,2,19,12,24,2,4,12,0,8,12,4,17,37,3
4,37,utility_aggro_turtle_vs_phase_player,utility_aggro_turtle,phase_player,player,full_board_majority,player,full_board_majority,5,0,27,23,14,13,19,18,18,17,0,33,60,36,24,42,1,9,2,13,19,24,25,1,7,14,36,17,0,6,28,19,9,17,82,83,10,12,3,4,12,12,13,16,3
4,37,utility_aggro_turtle_vs_rusher,utility_aggro_turtle,rusher,enemy,territory,enemy,territory,5,0,25,23,13,12,13,23,12,22,1,32,61,54,7,8,2,5,2,40,21,22,8,2,16,11,39,0,0,24,26,2,3,1,5,97,2,3,2,6,12,5,0,0,0
4,37,utility_aggro_turtle_vs_utility_balancer,utility_aggro_turtle,utility_balancer,player,full_board_majority,player,full_board_majority,5,0,18,23,9,9,19,18,18,17,0,33,9,7,2,45,2,5,2,12,18,5,21,0,6,15,4,24,2,6,5,22,0,10,10,5,4,12,1,10,12,2,20,43,3
4,37,utility_aggro_turtle_vs_utility_rusher,utility_aggro_turtle,utility_rusher,enemy,full_board_majority,enemy,full_board_majority,5,0,18,23,9,9,16,21,15,20,0,33,31,22,9,19,1,5,2,15,18,11,11,0,8,15,20,8,1,7,27,9,2,14,29,5,7,12,6,12,12,2,7,10,3
4,37,utility_aggro_turtle_vs_utility_economist,utility_aggro_turtle,utility_economist,player,full_board_majority,player,full_board_majority,5,0,21,23,11,10,21,16,20,15,0,33,16,11,5,45,3,11,2,12,18,6,27,1,6,15,10,18,2,6,20,9,13,61,6,7,2,12,10,12,12,9,17,40,3
4,37,utility_aggro_turtle_vs_utility_fortifier,utility_aggro_turtle,utility_fortifier,player,full_board_majority,player,full_board_majority,5,0,23,23,12,11,21,16,20,15,0,33,17,3,14,57,6,8,2,10,18,4,31,5,5,15,13,26,1,5,23,26,25,45,8,21,1,12,12,12,3,12,18,41,3
4,37,utility_aggro_turtle_vs_utility_aggro_turtle,utility_aggro_turtle,utility_aggro_turtle,player,full_board_majority,player,full_board_majority,5,0,23,23,12,11,21,16,20,15,0,33,17,3,14,56,8,7,2,10,18,4,31,5,5,15,13,25,3,5,23,26,25,47,8,14,1,12,12,12,4,12,16,40,3
